cohort	membership	module	contrast	reference_group	test_group	n_reference	n_test	mean_reference	mean_test	median_reference	median_test	delta_mean	cliffs_delta_test_vs_reference	wilcox_p	permutation_p	permutation_method	n_permutations	bootstrap95_ci_low	bootstrap95_ci_high	n_pathways_defined	n_pathways_present	evidence_tier
LoombaR_2017	conservative	lps_lipidA	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-13.308437304187615	-11.455032289592165	-9.629971587129809	-8.326556240305553	1.8534050145954506	0.2123015873015873	0.1996551207462791	0.2980701929807019	monte_carlo	10000	-1.712758531096356	5.107786688280313	3	2	processed_public_matrix_directional_support
LoombaR_2017	conservative	scfa_acetate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.463869109691114	-5.851936757414611	-5.424722392372782	-5.76625938412968	-0.38806764772349744	-0.43253968253968256	0.010951228978193306	0.008899110088991101	monte_carlo	10000	-0.6303064189694936	-0.16906910524156246	2	1	processed_public_matrix_directional_support
LoombaR_2017	conservative	scfa_butyrate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-6.568397984871637	-6.687943715140997	-6.409406787956812	-6.744713305884827	-0.1195457302693601	-0.16071428571428573	0.3463639772626531	0.5346465353464653	monte_carlo	10000	-0.4753372067280882	0.2249300466243053	4	4	processed_public_matrix_directional_support
LoombaR_2017	conservative	scfa_lactate_succinate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.463869109691114	-5.851936757414611	-5.424722392372782	-5.76625938412968	-0.38806764772349744	-0.43253968253968256	0.010951228978193306	0.007899210078992101	monte_carlo	10000	-0.6174099212400044	-0.15273643705289885	2	1	processed_public_matrix_directional_support
LoombaR_2017	conservative	tryptophan_indole	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.033657129319708	-5.074286186341399	-5.003794324368489	-5.067259473432237	-0.040629057021691395	-0.18253968253968253	0.2844662194477292	0.6637336266373363	monte_carlo	10000	-0.15106856214857267	0.07747141718086929	2	2	processed_public_matrix_directional_support
LoombaR_2017	conservative	overall_fermentation	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.137763887324841	-5.469351969877343	-5.063003881594293	-5.42159806690516	-0.3315880825525026	-0.4226190476190476	0.012927413901283984	0.012998700129987	monte_carlo	10000	-0.5862564068174699	-0.0950803810226291	6	5	processed_public_matrix_directional_support
LoombaR_2017	expanded	lps_lipidA	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-12.587327686107907	-10.15820226795688	-9.225184172012145	-7.348137194420018	2.429125418151026	0.2757936507936508	0.09851788963911459	0.1790820917908209	monte_carlo	10000	-1.0347410035047355	5.472052093806582	4	3	processed_public_matrix_directional_support
LoombaR_2017	expanded	scfa_acetate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.10405142100076	-5.320808620725963	-4.999324093836093	-5.142491311380967	-0.2167571997252029	-0.26587301587301587	0.11837191232185064	0.11738826117388261	monte_carlo	10000	-0.5030539661753914	0.05552213472334309	4	2	processed_public_matrix_directional_support
LoombaR_2017	expanded	scfa_butyrate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-6.568397984871637	-6.687943715140997	-6.409406787956812	-6.744713305884827	-0.1195457302693601	-0.16071428571428573	0.3463639772626531	0.5372462753724627	monte_carlo	10000	-0.48442319496938424	0.22450341300122664	4	4	processed_public_matrix_directional_support
LoombaR_2017	expanded	scfa_lactate_succinate	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.10405142100076	-5.320808620725963	-4.999324093836093	-5.142491311380967	-0.2167571997252029	-0.26587301587301587	0.11837191232185064	0.11588841115888411	monte_carlo	10000	-0.4977435333899441	0.04972100638526366	4	2	processed_public_matrix_directional_support
LoombaR_2017	expanded	tryptophan_indole	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-5.033657129319708	-5.074286186341399	-5.003794324368489	-5.067259473432237	-0.040629057021691395	-0.18253968253968253	0.2844662194477292	0.670932906709329	monte_carlo	10000	-0.15323533799290784	0.0780098598564273	2	2	processed_public_matrix_directional_support
LoombaR_2017	expanded	overall_fermentation	F3_F4_minus_F0_F2	F0_F2	F3_F4	72	14	-4.870453778603145	-5.067198986849369	-4.790033036797063	-4.8956179365446175	-0.19674520824622377	-0.22817460317460317	0.18044458085983484	0.13438656134386562	monte_carlo	10000	-0.47390697219732225	0.05519283930276844	8	6	processed_public_matrix_directional_support
